observation_date,median_house_price,real_disp_inc,unemp_rate,10y_r_ir
1963-01-01,17800.0,2688.2,5.7,7.62374231
1963-02-01,18000.0,2672.3,5.9,7.65664807
1963-03-01,17900.0,2683.6,5.7,7.12899337
1963-04-01,18500.0,2694.6,5.7,7.40834717
1963-05-01,18500.0,2705.0,5.9,7.32004091
1963-06-01,18900.0,2718.6,5.6,7.34537864
1963-07-01,18900.0,2721.6,5.6,7.55898662
1963-08-01,19400.0,2732.5,5.4,6.87979814
1963-09-01,20200.0,2752.9,5.5,6.50722489
1963-10-01,19800.0,2768.9,5.5,6.27916218
1963-11-01,20200.0,2774.7,5.7,5.62621423
1963-12-01,20300.0,2797.1,5.5,5.88173142
1964-01-01,21000.0,2806.4,5.6,5.5433895
1964-02-01,22100.0,2815.3,5.4,5.86170487
1964-03-01,21500.0,2882.1,5.4,5.57383847
1964-04-01,21400.0,2897.7,5.3,5.70012244
1964-05-01,22300.0,2912.9,5.1,5.40239353
1964-06-01,23300.0,2922.5,5.2,5.80955824
1964-07-01,22500.0,2936.4,4.9,5.8185791
1964-08-01,22900.0,2949.4,5.0,6.26942178
1964-09-01,23900.0,2961.1,5.1,6.35502485
1964-10-01,24900.0,2960.2,5.1,6.03269333
1964-11-01,24800.0,2979.4,4.8,6.14393792
1964-12-01,25600.0,3008.0,5.0,6.14842454
1965-01-01,25700.0,3013.8,4.9,6.21530449
1965-02-01,25900.0,3014.5,5.1,6.1010181
1965-03-01,25900.0,3024.6,4.7,6.46257937
1965-04-01,24900.0,3027.8,4.8,6.62874874
1965-05-01,23900.0,3061.4,4.6,6.85146491
1965-06-01,24400.0,3065.8,4.6,7.34576833
1965-07-01,23000.0,3097.8,4.4,7.44614428
1965-08-01,22600.0,3113.1,4.4,6.87114867
1965-09-01,24300.0,3194.5,4.3,6.97565415
1965-10-01,25800.0,3178.9,4.2,6.60885326
1965-11-01,25300.0,3201.4,4.1,6.06648144
1965-12-01,25500.0,3214.6,4.0,6.07562511
1966-01-01,26200.0,3216.8,4.0,6.16190057
1966-02-01,26800.0,3230.2,3.8,6.01581783
1966-03-01,27900.0,3242.8,3.8,6.38383581
1966-04-01,29200.0,3230.5,3.8,6.19138804
1966-05-01,30200.0,3235.7,3.9,5.93748656
1966-06-01,32700.0,3249.2,3.8,5.1560053
1966-07-01,33500.0,3260.4,3.8,5.33392835
1966-08-01,34000.0,3277.2,3.8,5.59011814
1966-09-01,35200.0,3296.6,3.7,5.4232741
1966-10-01,35600.0,3307.3,3.7,5.40769529
1966-11-01,36200.0,3322.5,3.6,5.2424908
1966-12-01,37200.0,3319.6,3.8,5.08076952
1967-01-01,38100.0,3353.7,3.9,4.54718526
1967-02-01,39000.0,3360.2,3.8,4.62388041
1967-03-01,38800.0,3385.5,3.8,4.20918205
1967-04-01,41200.0,3384.5,3.8,3.94830491
1967-05-01,42800.0,3391.3,3.8,4.04659032
1967-06-01,44200.0,3403.8,3.9,4.58448381
1967-07-01,44400.0,3417.4,3.8,3.99302785
1967-08-01,45500.0,3429.7,3.8,3.9205807
1967-09-01,46300.0,3429.3,3.8,3.55172642
1967-10-01,48900.0,3434.5,4.0,3.86705459
1967-11-01,48800.0,3455.3,3.9,3.74388639
1967-12-01,51600.0,3461.6,3.8,3.54373436
1968-01-01,53000.0,3480.2,3.7,3.60456573
1968-02-01,55300.0,3505.4,3.8,3.57858135
1968-03-01,56100.0,3538.4,3.7,3.55478545
1968-04-01,59000.0,3550.7,3.5,3.76019917
1968-05-01,60600.0,3565.2,3.5,4.3597144
1968-06-01,63100.0,3581.3,3.7,4.33241266
1968-07-01,64700.0,3573.9,3.7,4.27752862
1968-08-01,62600.0,3578.5,3.5,4.48023176
1968-09-01,63700.0,3578.9,3.4,4.60420021
1968-10-01,64000.0,3591.7,3.4,4.95924181
1968-11-01,64900.0,3605.1,3.4,4.52543171
1968-12-01,66400.0,3617.6,3.4,4.57927551
1969-01-01,66800.0,3611.0,3.4,4.60538556
1969-02-01,69400.0,3611.8,3.4,4.09836913
1969-03-01,69200.0,3618.3,3.4,4.04273806
1969-04-01,70400.0,3613.0,3.4,4.41655648
1969-05-01,66400.0,3654.1,3.4,4.49627175
